serial,refactoring,project,commit,url
1,Change method signature,Elasticsearch,"1d7d9dc1eed
",https://github.com/elastic/elasticsearch/commit/1d7d9dc1eed
2,Change method signature,Elasticsearch,"5cf8b94f300
",https://github.com/elastic/elasticsearch/commit/5cf8b94f300
3,Change method signature,Elasticsearch,"90f5bd5d635
",https://github.com/elastic/elasticsearch/commit/90f5bd5d635
4,Change method signature,Elasticsearch,"922e790cdc8
",https://github.com/elastic/elasticsearch/commit/922e790cdc8
5,Combine enum with comparator,Elasticsearch,"1fae3e75017
",https://github.com/elastic/elasticsearch/commit/1fae3e75017
6,Extract class,Elasticsearch,"2b175653d9f
",https://github.com/elastic/elasticsearch/commit/2b175653d9f
7,Extract class,Elasticsearch,"45c32871acb
",https://github.com/elastic/elasticsearch/commit/45c32871acb
8,Extract class,Elasticsearch,"987b778bb67
",https://github.com/elastic/elasticsearch/commit/987b778bb67
9,Extract class,Elasticsearch,c0d35f1e77d,https://github.com/elastic/elasticsearch/commit/c0d35f1e77d
10,Extract class,Elasticsearch,dbf59c54143,https://github.com/elastic/elasticsearch/commit/dbf59c54143
11,Extract class,Elasticsearch,"ed6e8ec80c7
",https://github.com/elastic/elasticsearch/commit/ed6e8ec80c7
12,Extract interface,Elasticsearch,"2b03368639b
",https://github.com/elastic/elasticsearch/commit/2b03368639b
13,Extract interface,Elasticsearch,"8582a18817e
",https://github.com/elastic/elasticsearch/commit/8582a18817e
14,Extract method,Elasticsearch,"040692497b9
",https://github.com/elastic/elasticsearch/commit/040692497b9
15,Extract method,Elasticsearch,"1b2e8cf5a2b
",https://github.com/elastic/elasticsearch/commit/1b2e8cf5a2b
16,Extract method,Elasticsearch,"1b7f3a0eae0
",https://github.com/elastic/elasticsearch/commit/1b7f3a0eae0
17,Extract method,Elasticsearch,35ff2802518,https://github.com/elastic/elasticsearch/commit/35ff2802518
18,Extract method,Elasticsearch,"510c8515abe
",https://github.com/elastic/elasticsearch/commit/510c8515abe
19,Extract method,Elasticsearch,6187e905564,https://github.com/elastic/elasticsearch/commit/6187e905564
20,Extract method,Elasticsearch,"7550cea83c9
",https://github.com/elastic/elasticsearch/commit/7550cea83c9
21,Extract method,Elasticsearch,"922e790cdc8
",https://github.com/elastic/elasticsearch/commit/922e790cdc8
22,Extract method,Elasticsearch,"971cfb9317f
",https://github.com/elastic/elasticsearch/commit/971cfb9317f
23,Extract method,Elasticsearch,"971cfb9317f
",https://github.com/elastic/elasticsearch/commit/971cfb9317f
24,Extract method,Elasticsearch,"a3b1d86c45c
",https://github.com/elastic/elasticsearch/commit/a3b1d86c45c
25,Extract method,Elasticsearch,"abd27222281
",https://github.com/elastic/elasticsearch/commit/abd27222281
26,Extract method,Elasticsearch,"b96f8f0ce6a
",https://github.com/elastic/elasticsearch/commit/b96f8f0ce6a
27,Extract method,Elasticsearch,bce405f9849,https://github.com/elastic/elasticsearch/commit/bce405f9849
28,Extract method,Elasticsearch,cea88cbeecb,https://github.com/elastic/elasticsearch/commit/cea88cbeecb
29,Extract method,Elasticsearch,"d65461d7fbb
",https://github.com/elastic/elasticsearch/commit/d65461d7fbb
30,Inline constant,Elasticsearch,"d68670fb885
",https://github.com/elastic/elasticsearch/commit/d68670fb885
31,Inline method,Elasticsearch,"067aba96cd7
",https://github.com/elastic/elasticsearch/commit/067aba96cd7
32,Inline method,Elasticsearch,"067aba96cd7
",https://github.com/elastic/elasticsearch/commit/067aba96cd7
33,Inline variable,Elasticsearch,"161b5d950d9
",https://github.com/elastic/elasticsearch/commit/161b5d950d9
34,Introduce constant,Elasticsearch,"01f19ecab29
",https://github.com/elastic/elasticsearch/commit/01f19ecab29
35,Introduce constant,Elasticsearch,"01f19ecab29
",https://github.com/elastic/elasticsearch/commit/01f19ecab29
36,introduce parameter,Elasticsearch,"2b175653d9f
",https://github.com/elastic/elasticsearch/commit/2b175653d9f
37,Move class,Elasticsearch,"0e5f485058e
",https://github.com/elastic/elasticsearch/commit/0e5f485058e
38,Move class,Elasticsearch,"4a9b4bc9823
",https://github.com/elastic/elasticsearch/commit/4a9b4bc9823
39,Move class,Elasticsearch,"680774e7f27
",https://github.com/elastic/elasticsearch/commit/680774e7f27
40,Move method,Elasticsearch,"680774e7f27
",https://github.com/elastic/elasticsearch/commit/680774e7f27
41,Move method,Elasticsearch,"680774e7f27
",https://github.com/elastic/elasticsearch/commit/680774e7f27
42,Move method,Elasticsearch,"b328982e373
",https://github.com/elastic/elasticsearch/commit/b328982e373
43,Remove class annotation,Elasticsearch,084bd5b5398,https://github.com/elastic/elasticsearch/commit/084bd5b5398
44,Remove class annotation,Elasticsearch,5c26cf07622,https://github.com/elastic/elasticsearch/commit/5c26cf07622
45,Remove class annotation,Elasticsearch,"6faa54c171d
",https://github.com/elastic/elasticsearch/commit/6faa54c171d
46,Remove class annotation,Elasticsearch,9ab7945fc74,https://github.com/elastic/elasticsearch/commit/9ab7945fc74
47,Remove class annotation,Elasticsearch,"9f2d38856d3
",https://github.com/elastic/elasticsearch/commit/9f2d38856d3
48,Remove class annotation,Elasticsearch,"b9c29807ecc
",https://github.com/elastic/elasticsearch/commit/b9c29807ecc
49,Remove class annotation,Elasticsearch,"b198f3b4b46
",https://github.com/elastic/elasticsearch/commit/b198f3b4b46
50,Remove class modifier,Elasticsearch,174bed090b8,https://github.com/elastic/elasticsearch/commit/174bed090b8
51,Remove class modifier,Elasticsearch,"6faa54c171d
",https://github.com/elastic/elasticsearch/commit/6faa54c171d
52,Remove class modifier,Elasticsearch,7c385b001f4,https://github.com/elastic/elasticsearch/commit/7c385b001f4
53,Remove class modifier,Elasticsearch,"a5aae93b652
",https://github.com/elastic/elasticsearch/commit/a5aae93b652
54,Remove class modifier,Elasticsearch,"a8d19a5166c
",https://github.com/elastic/elasticsearch/commit/a8d19a5166c
55,Remove class modifier,Elasticsearch,"b198f3b4b46
",https://github.com/elastic/elasticsearch/commit/b198f3b4b46
56,Remove class modifier,Elasticsearch,"b198f3b4b46
",https://github.com/elastic/elasticsearch/commit/b198f3b4b46
57,Remove useless code,Elasticsearch,"ed6e8ec80c7
",https://github.com/elastic/elasticsearch/commit/ed6e8ec80c7
58,Remove duplicate code,Elasticsearch,"3b7b86c507f
",https://github.com/elastic/elasticsearch/commit/3b7b86c507f
59,Remove duplicate code,Elasticsearch,"5b2cdac7615
",https://github.com/elastic/elasticsearch/commit/5b2cdac7615
60,Remove duplicate code,Elasticsearch,6851cb3a1e9,https://github.com/elastic/elasticsearch/commit/6851cb3a1e9
61,Remove duplicate code,Elasticsearch,"7cbdb6cc197
",https://github.com/elastic/elasticsearch/commit/7cbdb6cc197
62,Remove duplicate code,Elasticsearch,"7d522145def
",https://github.com/elastic/elasticsearch/commit/7d522145def
63,Remove duplicate code,Elasticsearch,"7ddf5191803
",https://github.com/elastic/elasticsearch/commit/7ddf5191803
64,Remove duplicate code,Elasticsearch,"8acfebeb084
",https://github.com/elastic/elasticsearch/commit/8acfebeb084
65,Remove duplicate code,Elasticsearch,"900a48ca26b
",https://github.com/elastic/elasticsearch/commit/900a48ca26b
66,Remove duplicate code,Elasticsearch,"c5b705dfb41
",https://github.com/elastic/elasticsearch/commit/c5b705dfb41
67,Remove method annotation,Elasticsearch,48dcb856157,https://github.com/elastic/elasticsearch/commit/48dcb856157
68,Remove method annotation,Elasticsearch,c7021050f16,https://github.com/elastic/elasticsearch/commit/c7021050f16
69,Remove method annotation,Elasticsearch,"df8202206a8
",https://github.com/elastic/elasticsearch/commit/df8202206a8
70,Remove method modifier,Elasticsearch,"df8202206a8
",https://github.com/elastic/elasticsearch/commit/df8202206a8
71,Remove method modifier,Elasticsearch,"df8202206a8
",https://github.com/elastic/elasticsearch/commit/df8202206a8
72,Remove parameter annotation,Elasticsearch,"1116889819a
",https://github.com/elastic/elasticsearch/commit/1116889819a
73,Remove parameter annotation,Elasticsearch,155f2cdf3ff,https://github.com/elastic/elasticsearch/commit/155f2cdf3ff
74,Remove unused field,Elasticsearch,"f65f8ecd29a
",https://github.com/elastic/elasticsearch/commit/f65f8ecd29a
75,Remove unused import,Elasticsearch,"0fb3a6ecd5b
",https://github.com/elastic/elasticsearch/commit/0fb3a6ecd5b
