serial,refactoring,project,commit,url
1,Complex refactoring,Hadoop,"e09e81abe47a
",https://github.com/apache/hadoop/commit/e09e81abe47a
2,Complex refactoring,Hadoop,"F187e9bcd527
",https://github.com/apache/hadoop/commit/F187e9bcd527
3,Extract class,Hadoop,"151b71d7affb
",https://github.com/apache/hadoop/commit/151b71d7affb
4,Extract class,Hadoop,40467519399c,https://github.com/apache/hadoop/commit/40467519399c
5,Extract class,Hadoop,"5440c75c4abe
",https://github.com/apache/hadoop/commit/5440c75c4abe
6,Extract class,Hadoop,"5ed7e912dcf5
",https://github.com/apache/hadoop/commit/5ed7e912dcf5
7,Extract class,Hadoop,"75bc6cfced30
",https://github.com/apache/hadoop/commit/75bc6cfced30
8,Extract class,Hadoop,"7cb22eb72d58
",https://github.com/apache/hadoop/commit/7cb22eb72d58
9,Extract class,Hadoop,"c9a174a26057
",https://github.com/apache/hadoop/commit/c9a174a26057
10,Extract class,Hadoop,d60262fe0092,https://github.com/apache/hadoop/commit/d60262fe0092
11,Extract class,Hadoop,dd72e8fbc364,https://github.com/apache/hadoop/commit/dd72e8fbc364
12,Extract method,Hadoop,"5d08ffa769d9
",https://github.com/apache/hadoop/commit/5d08ffa769d9
13,Extract method,Hadoop,"6463f86f83fc
",https://github.com/apache/hadoop/commit/6463f86f83fc
14,Extract method,Hadoop,"6f7c4c74eaa8
",https://github.com/apache/hadoop/commit/6f7c4c74eaa8
15,Extract method,Hadoop,9adf0ca08997,https://github.com/apache/hadoop/commit/9adf0ca08997
16,Extract method,Hadoop,"eb1d3ebe2fb1
",https://github.com/apache/hadoop/commit/eb1d3ebe2fb1
17,Extract variable,Hadoop,"241398de3b2c
",https://github.com/apache/hadoop/commit/241398de3b2c
18,Extract variable,Hadoop,"2e997d818d00
",https://github.com/apache/hadoop/commit/2e997d818d00
19,Extract variable,Hadoop,"5b22dc6aced7
",https://github.com/apache/hadoop/commit/5b22dc6aced7
20,Extract variable,Hadoop,"9de13f879af6
",https://github.com/apache/hadoop/commit/9de13f879af6
21,Merge conditional,Hadoop,"241398de3b2c
",https://github.com/apache/hadoop/commit/241398de3b2c
22,Merge parameter,Hadoop,"241398de3b2c
",https://github.com/apache/hadoop/commit/241398de3b2c
23,Merge parameter,Hadoop,"5b22dc6aced7
",https://github.com/apache/hadoop/commit/5b22dc6aced7
24,Move method,Hadoop,"680af873777f
",https://github.com/apache/hadoop/commit/680af873777f
25,Move method,Hadoop,"9de13f879af6
",https://github.com/apache/hadoop/commit/9de13f879af6
26,Remove commented out code,Hadoop,"680af873777f
",https://github.com/apache/hadoop/commit/680af873777f
27,Remove duplication in constructor by delegating to another constructor,Hadoop,"37bff63c0ffa
",https://github.com/apache/hadoop/commit/37bff63c0ffa
28,Remove parameter ,Hadoop,0110e24ed867,https://github.com/apache/hadoop/commit/0110e24ed867
29,Remove parameter ,Hadoop,62ff4e36cfaa,https://github.com/apache/hadoop/commit/62ff4e36cfaa
30,Remove parameter ,Hadoop,b0b2cb4a16d9,https://github.com/apache/hadoop/commit/b0b2cb4a16d9
31,Remove unnecessary compilation dependency,Hadoop,"e09e81abe47a
",https://github.com/apache/hadoop/commit/e09e81abe47a
32,Remove unnecessary type cast,Hadoop,"895f7c51fd10
",https://github.com/apache/hadoop/commit/895f7c51fd10
33,Remove unused import,Hadoop,09a69f996bae,https://github.com/apache/hadoop/commit/09a69f996bae
34,Remove unused import,Hadoop,"6e11c941703d
",https://github.com/apache/hadoop/commit/6e11c941703d
35,Remove unused import,Hadoop,"7c66266b4e08
",https://github.com/apache/hadoop/commit/7c66266b4e08
36,Remove unused import,Hadoop,9c3330c22fe3,https://github.com/apache/hadoop/commit/9c3330c22fe3
37,Remove unused import,Hadoop,"b673ebfec250
",https://github.com/apache/hadoop/commit/b673ebfec250
38,Remove unused import,Hadoop,"dd819f7904ca
",https://github.com/apache/hadoop/commit/dd819f7904ca
39,Remove unused method,Hadoop,"7f5a34dfaa7e
",https://github.com/apache/hadoop/commit/7f5a34dfaa7e
40,Remove unused method,Hadoop,"882f08b4bc1d
",https://github.com/apache/hadoop/commit/882f08b4bc1d
41,Remove unused variable,Hadoop,"a897e745f598
",https://github.com/apache/hadoop/commit/a897e745f598
42,Remove unused variable,Hadoop,"fac895828f71
",https://github.com/apache/hadoop/commit/fac895828f71
43,Remove variable annotation,Hadoop,1350539f2de1,https://github.com/apache/hadoop/commit/1350539f2de1
44,Rename variable,Hadoop,"2e997d818d00
",https://github.com/apache/hadoop/commit/2e997d818d00
45,Rename variable,Hadoop,"84dd6247686c
",https://github.com/apache/hadoop/commit/84dd6247686c
46,Rename variable,Hadoop,"9de13f879af6
",https://github.com/apache/hadoop/commit/9de13f879af6
47,Rename variable,Hadoop,"eb1d3ebe2fb1
",https://github.com/apache/hadoop/commit/eb1d3ebe2fb1
48,Replace duplicated constant field,Hadoop,"a333674785cf
",https://github.com/apache/hadoop/commit/a333674785cf
49,Replace primitive with object,Hadoop,"40467519399c
",https://github.com/apache/hadoop/commit/40467519399c
50,switch library,Hadoop,"6b80b1e60f1a
",https://github.com/apache/hadoop/commit/6b80b1e60f1a
