serial,refactoring,project,commit,url
1,Add brackets,Junit4,"bd6dc3af
",https://github.com/junit-team/junit4/commit/bd6dc3af
2,Change method signature,Junit4,97654ff3,https://github.com/junit-team/junit4/commit/97654ff3
3,Encapsulate field,Junit4,"495a9a93
",https://github.com/junit-team/junit4/commit/495a9a93
4,Encapsulate field,Junit4,"495a9a93
",https://github.com/junit-team/junit4/commit/495a9a93
5,Encapsulate field,Junit4,"5042f695
",https://github.com/junit-team/junit4/commit/5042f695
6,Extract class,Junit4,4512777f,https://github.com/junit-team/junit4/commit/4512777f
7,Extract class,Junit4,"52e93b4f
",https://github.com/junit-team/junit4/commit/52e93b4f
8,Extract class,Junit4,543905df,https://github.com/junit-team/junit4/commit/543905df
9,Extract class,Junit4,620ccfdd,https://github.com/junit-team/junit4/commit/620ccfdd
10,Extract class,Junit4,"88f7a12d
",https://github.com/junit-team/junit4/commit/88f7a12d
11,Extract class,Junit4,877750a0,https://github.com/junit-team/junit4/commit/877750a0
12,Extract class,Junit4,"a5d194fc
",https://github.com/junit-team/junit4/commit/a5d194fc
13,Extract class,Junit4,c391c25b,https://github.com/junit-team/junit4/commit/c391c25b
14,Extract class,Junit4,"e857122b
",https://github.com/junit-team/junit4/commit/e857122b
15,Extract interface,Junit4,"2f9b53db
",https://github.com/junit-team/junit4/commit/2f9b53db
16,Extract interface,Junit4,"9a192ede
",https://github.com/junit-team/junit4/commit/9a192ede
17,Extract interface,Junit4,"9a192ede
",https://github.com/junit-team/junit4/commit/9a192ede
18,Extract interface,Junit4,"fa80b68e
",https://github.com/junit-team/junit4/commit/fa80b68e
19,Extract method,Junit4,"0128bff5
",https://github.com/junit-team/junit4/commit/0128bff5
20,Extract method,Junit4,1bbab715,https://github.com/junit-team/junit4/commit/1bbab715
21,Extract method,Junit4,2859b41a,https://github.com/junit-team/junit4/commit/2859b41a
22,Extract method,Junit4,3189af00,https://github.com/junit-team/junit4/commit/3189af00
23,Extract method,Junit4,3cea4a9e,https://github.com/junit-team/junit4/commit/3cea4a9e
24,Extract method,Junit4,4042487e,https://github.com/junit-team/junit4/commit/4042487e
25,Extract method,Junit4,43cdf991,https://github.com/junit-team/junit4/commit/43cdf991
26,Extract method,Junit4,"44fabd25
",https://github.com/junit-team/junit4/commit/44fabd25
27,Extract method,Junit4,"495a9a93
",https://github.com/junit-team/junit4/commit/495a9a93
28,Extract method,Junit4,4f405a49,https://github.com/junit-team/junit4/commit/4f405a49
29,Extract method,Junit4,"5976b1d4
",https://github.com/junit-team/junit4/commit/5976b1d4
30,Extract method,Junit4,"6f8a359d
",https://github.com/junit-team/junit4/commit/6f8a359d
31,Extract method,Junit4,"70adacdc
",https://github.com/junit-team/junit4/commit/70adacdc
32,Extract method,Junit4,"74941e1e
",https://github.com/junit-team/junit4/commit/74941e1e
33,Extract method,Junit4,"759061a3
",https://github.com/junit-team/junit4/commit/759061a3
34,Extract method,Junit4,834dcd7b,https://github.com/junit-team/junit4/commit/834dcd7b
35,Extract method,Junit4,85b7c26e,https://github.com/junit-team/junit4/commit/85b7c26e
36,Extract method,Junit4,"8b35f0c0
",https://github.com/junit-team/junit4/commit/8b35f0c0
37,Extract method,Junit4,"a58514ae
",https://github.com/junit-team/junit4/commit/a58514ae
38,Extract method,Junit4,"a5d194fc
",https://github.com/junit-team/junit4/commit/a5d194fc
39,Extract method,Junit4,a7c4d033,https://github.com/junit-team/junit4/commit/a7c4d033
40,Extract method,Junit4,c4e7dfe1,https://github.com/junit-team/junit4/commit/c4e7dfe1
41,Extract method,Junit4,"d0534dae
",https://github.com/junit-team/junit4/commit/d0534dae
42,Extract method,Junit4,d0b029f6,https://github.com/junit-team/junit4/commit/d0b029f6
43,Extract method,Junit4,db8d5800,https://github.com/junit-team/junit4/commit/db8d5800
44,Extract method,Junit4,e34bdc9c,https://github.com/junit-team/junit4/commit/e34bdc9c
45,Extract method,Junit4,e767bccc,https://github.com/junit-team/junit4/commit/e767bccc
46,Extract method,Junit4,ee440345,https://github.com/junit-team/junit4/commit/ee440345
47,Extract method,Junit4,f4df6d58,https://github.com/junit-team/junit4/commit/f4df6d58
48,Extract variable,Junit4,"6838ac0e
",https://github.com/junit-team/junit4/commit/6838ac0e
49,Increase field visibility,Junit4,"706c38a8
",https://github.com/junit-team/junit4/commit/706c38a8
50,introduce parameter,Junit4,"1963b424
",https://github.com/junit-team/junit4/commit/1963b424
51,Loosen parameters type limitations,Junit4,"2de4d6f2
",https://github.com/junit-team/junit4/commit/2de4d6f2
52,Merge class,Junit4,"576377b9
",https://github.com/junit-team/junit4/commit/576377b9
53,Merge conditional,Junit4,"b8300f0d
",https://github.com/junit-team/junit4/commit/b8300f0d
54,Move class,Junit4,"40cc52cf
",https://github.com/junit-team/junit4/commit/40cc52cf
55,Move class,Junit4,"40cc52cf
",https://github.com/junit-team/junit4/commit/40cc52cf
56,Move class,Junit4,"88e2a761
",https://github.com/junit-team/junit4/commit/88e2a761
57,Move class,Junit4,"88e2a761
",https://github.com/junit-team/junit4/commit/88e2a761
