serial,refactoring,project,commit
1,Add brackets,Junit4,"bd6dc3af
"
2,Change method signature,Junit4,97654ff3
3,Encapsulate field,Junit4,"495a9a93
"
4,Encapsulate field,Junit4,"495a9a93
"
5,Encapsulate field,Junit4,"5042f695
"
6,Extract class,Junit4,4512777f
7,Extract class,Junit4,"52e93b4f
"
8,Extract class,Junit4,543905df
9,Extract class,Junit4,620ccfdd
10,Extract class,Junit4,"88f7a12d
"
11,Extract class,Junit4,877750a0
12,Extract class,Junit4,"a5d194fc
"
13,Extract class,Junit4,c391c25b
14,Extract class,Junit4,"e857122b
"
15,Extract interface,Junit4,"2f9b53db
"
16,Extract interface,Junit4,"9a192ede
"
17,Extract interface,Junit4,"9a192ede
"
18,Extract interface,Junit4,"fa80b68e
"
19,Extract method,Junit4,"0128bff5
"
20,Extract method,Junit4,1bbab715
21,Extract method,Junit4,2859b41a
22,Extract method,Junit4,3189af00
23,Extract method,Junit4,3cea4a9e
24,Extract method,Junit4,4042487e
25,Extract method,Junit4,43cdf991
26,Extract method,Junit4,"44fabd25
"
27,Extract method,Junit4,"495a9a93
"
28,Extract method,Junit4,4f405a49
29,Extract method,Junit4,"5976b1d4
"
30,Extract method,Junit4,"6f8a359d
"
31,Extract method,Junit4,"70adacdc
"
32,Extract method,Junit4,"74941e1e
"
33,Extract method,Junit4,"759061a3
"
34,Extract method,Junit4,834dcd7b
35,Extract method,Junit4,85b7c26e
36,Extract method,Junit4,"8b35f0c0
"
37,Extract method,Junit4,"a58514ae
"
38,Extract method,Junit4,"a5d194fc
"
39,Extract method,Junit4,a7c4d033
40,Extract method,Junit4,c4e7dfe1
41,Extract method,Junit4,"d0534dae
"
42,Extract method,Junit4,d0b029f6
43,Extract method,Junit4,db8d5800
44,Extract method,Junit4,e34bdc9c
45,Extract method,Junit4,e767bccc
46,Extract method,Junit4,ee440345
47,Extract method,Junit4,f4df6d58
48,Extract variable,Junit4,"6838ac0e
"
49,Increase field visibility,Junit4,"706c38a8
"
50,introduce parameter,Junit4,"1963b424
"
51,Loosen parameters type limitations,Junit4,"2de4d6f2
"
52,Merge class,Junit4,"576377b9
"
53,Merge conditional,Junit4,"b8300f0d
"
54,Move class,Junit4,"40cc52cf
"
55,Move class,Junit4,"40cc52cf
"
56,Move class,Junit4,"88e2a761
"
57,Move class,Junit4,"88e2a761
"
58,Move field,Junit4,"759061a3
"
59,Move method,Junit4,"88e2a761
"
60,Pull up method,Junit4,"e857122b
"
61,Remove brackets,Junit4,"bd6dc3af
"
62,Remove commented out code,Junit4,"5042f695
"
63,Remove commented out code,Junit4,"5042f695
"
64,Remove commented out code,Junit4,"5042f695
"
65,Remove commented out code,Junit4,"73e8fa81
"
66,Remove commented out code,Junit4,"73e8fa81
"
67,Remove commented out code,Junit4,"7a2a3811
"
68,Remove commented out code,Junit4,"8435a2a0
"
69,Remove commented out code,Junit4,"8435a2a0
"
70,Remove commented out code,Junit4,870289f3
71,Remove commented out code,Junit4,"88e2a761
"
72,Remove commented out code,Junit4,"ac837502
"
73,Remove commented out code,Junit4,"ac837502
"
74,Remove commented out code,Junit4,b1d37670
75,Remove commented out code,Junit4,ba3799fa
76,Remove commented out code,Junit4,d76010fd
77,Remove duplicate code,Junit4,"39545426
"
78,Remove duplicate code,Junit4,"787ed4e5
"
79,Remove duplicate code,Junit4,7c94e33e
80,Remove duplicate code,Junit4,"fbb1efed
"
81,Remove parameter ,Junit4,1d0688f5
82,Remove parameter ,Junit4,9d3821f6
83,Remove parameter modifier,Junit4,dca4a949
84,Remove suppress warning annotation,Junit4,"3d535e08
"
85,Remove suppress warning annotation,Junit4,"3d535e08
"
86,Remove unnecessary array creation,Junit4,"17a2f117
"
87,Remove unnecessary extends clause,Junit4,"9a0aec8f
"
88,Remove unused field,Junit4,"395e144b
"
89,Remove unused method,Junit4,"ac8987f3
"
90,Remove unused parameter ,Junit4,"10389dda
"
91,Remove unused parameter ,Junit4,afbeeb31
92,Remove unused variable,Junit4,"039f6e81
"
93,Remove unused variable,Junit4,"039f6e81
"
94,Rename  class,Junit4,"40cc52cf
"
95,Rename class,Junit4,"35f5f3a7
"
96,Rename class,Junit4,"8226e3e6
"
97,Rename class,Junit4,"fc7d4be8
"
98,Rename field,Junit4,"86b9346e
"
99,Rename field,Junit4,"86b9346e
"
100,Rename method,Junit4,"1963b424
"
101,Rename method,Junit4,"394e199f
"
102,Rename method,Junit4,"706c38a8
"
103,Rename method,Junit4,c07965ab
104,Rename parameter,Junit4,2bf3509d
105,Rename parameter,Junit4,"3791a960
"
106,Rename parameter,Junit4,4081076e
107,Rename parameter,Junit4,6f685561
108,Rename parameter,Junit4,9f87b781
109,Rename variable,Junit4,"a068272d
"
110,Rename variable,Junit4,"a068272d
"
111,Replace  HashMap with linked HashMap,Junit4,"c75dcc28
"
112,Replace array with primitive array,Junit4,"b052c712
"
113,Replace array with singleton list,Junit4,"17a2f117
"
114,Replace expected attributed with try catch,Junit4,"df016dc0
"
115,Replace for loop with foreach,Junit4,"4c6975f9
"
116,Replace for loop with foreach,Junit4,"4c6975f9
"
117,Replace method with method object,Junit4,"a68b42ca
"
118,Split method,Junit4,"b403288c
"
119,Split package,Junit4,"576377b9
"
