serial,refactoring,project,commit
1,Add brackets,Junit4,"bd6dc3af
"
2,Add delegation for super classs constructor,Tomcat,"992bf9219b
"
3,Add final keyword,Kafka,"65424ab484
"
4,Add parameter,Kafka,"5eb82010ef
"
5,Add parameter annotation,Kafka,"5eb82010ef
"
6,Add parameter modifier,Kafka,"5eb82010ef
"
7,Avoid unnecessary actions by precondition checking,Tomcat,"3a9dbd17f5
"
8,Avoid unnecessary actions by precondition checking,Tomcat,"3a9dbd17f5
"
9,Change method signature,Kafka,"0bc736f3c4
"
10,Change method signature,Kafka,2c925e9f33
11,Change method signature,Kafka,"2e2f32c050
"
12,Change method signature,Kafka,"513e1c641d
"
13,Change method signature,Kafka,"5767d12963
"
14,Change method signature,Kafka,"c254b22a48
"
15,Change method signature,Kafka,"dcff0878c4
"
16,Change method signature,Elasticsearch,"1d7d9dc1eed
"
17,Change method signature,Elasticsearch,"5cf8b94f300
"
18,Change method signature,Elasticsearch,"90f5bd5d635
"
19,Change method signature,Elasticsearch,"922e790cdc8
"
20,Change method signature,Junit4,97654ff3
21,Change method signature,Tomcat,"a33a493ef7
"
22,Combine enum with comparator,Elasticsearch,"1fae3e75017
"
23,Complex refactoring,Elasticsearch,"77733642840
"
24,Complex refactoring,Hadoop,"e09e81abe47a
"
25,Complex refactoring,Hadoop,"F187e9bcd527
"
26,Complex refactoring,Tomcat,"592bc75020
"
27,Convert nested class to inner class,Springframework,"eafbcfd385
"
28,Decrease visibility,Kafka,"2a6e420dfb
"
29,Encapsulate field,Junit4,"495a9a93
"
30,Encapsulate field,Junit4,"495a9a93
"
31,Encapsulate field,Junit4,"5042f695
"
32,Encapsulate field,Springframework,"6fa09e1783
"
33,Encapsulate field,Tomcat,"bf58e444d9
"
34,Extract class,Kafka,"1401769d92
"
35,Extract class,Kafka,3cf13064cc
36,Extract class,Kafka,"4a61b48d3d
"
37,Extract class,Kafka,"4af4bccbbf
"
38,Extract class,Kafka,"8d32a0f246
"
39,Extract class,Kafka,a0a9b6ffea
40,Extract class,Kafka,"a3252629a3
"
41,Extract class,Kafka,"c74c0f2fac
"
42,Extract class,Kafka,"f586fa59d3
"
43,Extract class,Elasticsearch,"2b175653d9f
"
44,Extract class,Elasticsearch,"45c32871acb
"
45,Extract class,Elasticsearch,"987b778bb67
"
46,Extract class,Elasticsearch,c0d35f1e77d
47,Extract class,Elasticsearch,dbf59c54143
48,Extract class,Elasticsearch,"ed6e8ec80c7
"
49,Extract class,Hadoop,"151b71d7affb
"
50,Extract class,Hadoop,40467519399c
51,Extract class,Hadoop,"5440c75c4abe
"
52,Extract class,Hadoop,"5ed7e912dcf5
"
53,Extract class,Hadoop,"75bc6cfced30
"
54,Extract class,Hadoop,"7cb22eb72d58
"
55,Extract class,Hadoop,"c9a174a26057
"
56,Extract class,Hadoop,d60262fe0092
57,Extract class,Hadoop,dd72e8fbc364
58,Extract class,Junit4,4512777f
59,Extract class,Junit4,"52e93b4f
"
60,Extract class,Junit4,543905df
61,Extract class,Junit4,620ccfdd
62,Extract class,Junit4,"88f7a12d
"
63,Extract class,Junit4,877750a0
64,Extract class,Junit4,"a5d194fc
"
65,Extract class,Junit4,c391c25b
66,Extract class,Junit4,"e857122b
"
67,Extract class,Springframework,3be4c0a893
68,Extract class,Springframework,"7e5efdd8dd
"
69,Extract class,Tomcat,"b0e3b1bd78
"
70,Extract class,Tomcat,"bf93413990
"
71,Extract constant,Tomcat,"9437efd95b
"
72,Extract constant,Tomcat,"b0e3b1bd78
"
73,Extract field,Springframework,"35372e5e72
"
74,Extract interface,Elasticsearch,"2b03368639b
"
75,Extract interface,Elasticsearch,"8582a18817e
"
76,Extract interface,Junit4,"2f9b53db
"
77,Extract interface,Junit4,"9a192ede
"
78,Extract interface,Junit4,"9a192ede
"
79,Extract interface,Junit4,"fa80b68e
"
80,Extract interface,Springframework,"a481c7649f
"
81,Extract interface,Tomcat,"d1f0c34b18
"
82,Extract method,Kafka,"1b925e9ee7
"
83,Extract method,Kafka,322ac86ba2
84,Extract method,Kafka,"361095a1a7
"
85,Extract method,Kafka,"b100f1efac
"
86,Extract method,Kafka,"c8cb85274e
"
87,Extract method,Elasticsearch,"040692497b9
"
88,Extract method,Elasticsearch,"1b2e8cf5a2b
"
89,Extract method,Elasticsearch,"1b7f3a0eae0
"
90,Extract method,Elasticsearch,35ff2802518
91,Extract method,Elasticsearch,"510c8515abe
"
92,Extract method,Elasticsearch,6187e905564
93,Extract method,Elasticsearch,"7550cea83c9
"
94,Extract method,Elasticsearch,"922e790cdc8
"
95,Extract method,Elasticsearch,"971cfb9317f
"
96,Extract method,Elasticsearch,"971cfb9317f
"
97,Extract method,Elasticsearch,"a3b1d86c45c
"
98,Extract method,Elasticsearch,"abd27222281
"
99,Extract method,Elasticsearch,"b96f8f0ce6a
"
100,Extract method,Elasticsearch,bce405f9849
101,Extract method,Elasticsearch,cea88cbeecb
102,Extract method,Elasticsearch,"d65461d7fbb
"
103,Extract method,Hadoop,"5d08ffa769d9
"
104,Extract method,Hadoop,"6463f86f83fc
"
105,Extract method,Hadoop,"6f7c4c74eaa8
"
106,Extract method,Hadoop,9adf0ca08997
107,Extract method,Hadoop,"eb1d3ebe2fb1
"
108,Extract method,Junit4,"0128bff5
"
109,Extract method,Junit4,1bbab715
110,Extract method,Junit4,2859b41a
111,Extract method,Junit4,3189af00
112,Extract method,Junit4,3cea4a9e
113,Extract method,Junit4,4042487e
114,Extract method,Junit4,43cdf991
115,Extract method,Junit4,"44fabd25
"
116,Extract method,Junit4,"495a9a93
"
117,Extract method,Junit4,4f405a49
118,Extract method,Junit4,"5976b1d4
"
119,Extract method,Junit4,"6f8a359d
"
120,Extract method,Junit4,"70adacdc
"
121,Extract method,Junit4,"74941e1e
"
122,Extract method,Junit4,"759061a3
"
123,Extract method,Junit4,834dcd7b
124,Extract method,Junit4,85b7c26e
125,Extract method,Junit4,"8b35f0c0
"
126,Extract method,Junit4,"a58514ae
"
127,Extract method,Junit4,"a5d194fc
"
128,Extract method,Junit4,a7c4d033
129,Extract method,Junit4,c4e7dfe1
130,Extract method,Junit4,"d0534dae
"
131,Extract method,Junit4,d0b029f6
132,Extract method,Junit4,db8d5800
133,Extract method,Junit4,e34bdc9c
134,Extract method,Junit4,e767bccc
135,Extract method,Junit4,ee440345
136,Extract method,Junit4,f4df6d58
137,Extract method,Springframework,3745224646
138,Extract method,Springframework,324c6057fd
139,Extract method,Springframework,4d6249811e
140,Extract method,Springframework,a55b50b512
141,Extract method,Springframework,f8a1dac593
142,Extract method,Tomcat,"1bfffde19c
"
143,Extract method,Tomcat,"254ca3dc91
"
144,Extract method,Tomcat,28e1010655
145,Extract method,Tomcat,"3183fd399b
"
146,Extract method,Tomcat,33fe0f9be8
147,Extract method,Tomcat,"5f6ac4e03e
"
148,Extract method,Tomcat,8cb16cd40b
149,Extract method,Tomcat,962cdc9aa8
150,Extract method,Tomcat,9addc690a6
151,Extract method,Tomcat,"ba7fd15e45
"
152,Extract method,Tomcat,bd25937d2a
153,Extract method,Tomcat,"be535eefed
"
154,Extract method,Tomcat,"f33ee501c3
"
155,Extract super class,Tomcat,"c766eefed9
"
156,Extract variable,Hadoop,"241398de3b2c
"
157,Extract variable,Hadoop,"2e997d818d00
"
158,Extract variable,Hadoop,"5b22dc6aced7
"
159,Extract variable,Hadoop,"9de13f879af6
"
160,Extract variable,Junit4,"6838ac0e
"
161,Extract variable,Springframework,"fa5d246a1b
"
162,Increase field visibility,Junit4,"706c38a8
"
163,Inline  method,Tomcat,"4db15071f7
"
164,Inline  method,Tomcat,"d0b655d831
"
165,Inline  method,Tomcat,"e16eedd8ed
"
