,Refactoring,Project,CommitID
1,Rename  class,Elasticsearch,680774e7f27
2,Rename  class,Springframework,a481c7649f
3,Rename  class,Springframework,4aeeacb4c2
4,Rename  class,Springframework,fd5b0e144d
5,Rename  class,Tomcat,71b6644bce
6,Rename  class,Tomcat,442b0d38ea
7,Rename  class,Tomcat,9c5f303e9a
8,Rename  class,Tomcat,df5d4b9e23
9,Rename  class,Tomcat,8fe3db67fd
10,Rename  class,Tomcat,55aadf3929
11,Rename  class,Kafka,f0087ac6a8
12,Rename  class,Kafka,8aaf7daff3
13,Rename  class,Junit4,40cc52cf
14,Rename class,Junit4,35f5f3a7
15,Rename class,Junit4,8226e3e6
16,Rename class,Junit4,fc7d4be8
17,Rename constants,Elasticsearch,4e2389fb2cb
18,Rename constants,Kafka,39cacca89b
19,Rename field,Junit4,86b9346e
20,Rename field,Junit4,86b9346e
21,Rename method,Elasticsearch,5cf8b94f300
22,Rename method,Elasticsearch,680774e7f27
23,Rename method,Elasticsearch,d65461d7fbb
24,Rename method,Elasticsearch,1c03489f469
25,Rename method,Elasticsearch,50090f1a9c0
26,Rename method,Elasticsearch,2b175653d9f
27,Rename method,Elasticsearch,8582a18817e
28,Rename method,Elasticsearch,1b2e8cf5a2b
29,Rename method,Springframework,a481c7649f
30,Rename method,Springframework,9d28fe90f5
31,Rename method,Springframework,81c156eefb
32,Rename method,Springframework,ebfa009f18
33,Rename method,Springframework,e7cf54d4e2
34,Rename method,Tomcat,00e7bca774
35,Rename method,Kafka,8aaf7daff3
36,Rename method,Kafka,d24abe0ede
37,Rename method,Kafka,5eb82010ef
38,Rename method,Junit4,706c38a8
39,Rename method,Junit4,1963b424
40,Rename method,Junit4,394e199f
41,Rename method,Junit4,706c38a8
42,Rename package,Kafka,f0087ac6a8
43,Rename parameter,Elasticsearch,5c1e3e2c919
44,Rename parameter,Elasticsearch,9f2d38856d3
45,Rename parameter,Elasticsearch,b328982e373
46,Rename parameter,Elasticsearch,b328982e373
47,Rename parameter,Springframework,5c574b9878
48,Rename parameter,Springframework,09b1e5edf6
49,Rename parameter,Junit4,3791a960
50,Rename parameter,Junit4,3791a960
51,Rename parameter,Junit4,3791a960
52,Rename parameter,Junit4,3791a960
53,Rename parameter,Junit4,3791a960
54,Rename variable,Elasticsearch,8582a18817e
55,Rename variable,Elasticsearch,8773a1208ba
56,Rename variable,Elasticsearch,680774e7f27
57,Rename variable,Springframework,9d28fe90f5
