serial,refactoring,project,commit,url
1,Convert nested class to inner class,Springframework,"eafbcfd385
",https://github.com/spring-projects/spring-framework/commit/eafbcfd385
2,Encapsulate field,Springframework,"6fa09e1783
",https://github.com/spring-projects/spring-framework/commit/6fa09e1783
3,Extract class,Springframework,3be4c0a893,https://github.com/spring-projects/spring-framework/commit/3be4c0a893
4,Extract class,Springframework,"7e5efdd8dd
",https://github.com/spring-projects/spring-framework/commit/7e5efdd8dd
5,Extract field,Springframework,"35372e5e72
",https://github.com/spring-projects/spring-framework/commit/35372e5e72
6,Extract interface,Springframework,"a481c7649f
",https://github.com/spring-projects/spring-framework/commit/a481c7649f
7,Extract method,Springframework,3745224646,https://github.com/spring-projects/spring-framework/commit/3745224646
8,Extract method,Springframework,324c6057fd,https://github.com/spring-projects/spring-framework/commit/324c6057fd
9,Extract method,Springframework,4d6249811e,https://github.com/spring-projects/spring-framework/commit/4d6249811e
10,Extract method,Springframework,a55b50b512,https://github.com/spring-projects/spring-framework/commit/a55b50b512
11,Extract method,Springframework,f8a1dac593,https://github.com/spring-projects/spring-framework/commit/f8a1dac593
12,Extract variable,Springframework,"fa5d246a1b
",https://github.com/spring-projects/spring-framework/commit/fa5d246a1b
13,introduce parameter,Springframework,"a481c7649f
",https://github.com/spring-projects/spring-framework/commit/a481c7649f
14,Merge method,Springframework,"2dd22f64e1
",https://github.com/spring-projects/spring-framework/commit/2dd22f64e1
15,Move class,Springframework,"6931106c5e
",https://github.com/spring-projects/spring-framework/commit/6931106c5e
16,Move method,Springframework,"2dd22f64e1
",https://github.com/spring-projects/spring-framework/commit/2dd22f64e1
17,Move method,Springframework,"676daa990b
",https://github.com/spring-projects/spring-framework/commit/676daa990b
18,Move method,Springframework,"c227fbfdf2
",https://github.com/spring-projects/spring-framework/commit/c227fbfdf2
19,Move method,Springframework,"dfe320f172
",https://github.com/spring-projects/spring-framework/commit/dfe320f172
20,Nest class,Springframework,"ff14c5121d
",https://github.com/spring-projects/spring-framework/commit/ff14c5121d
21,Parameterize links,Springframework,"8567402969
",https://github.com/spring-projects/spring-framework/commit/8567402969
22,Remove class annotation,Springframework,d2b54e2611,https://github.com/spring-projects/spring-framework/commit/d2b54e2611
23,Remove class annotation,Springframework,"e51c71bcd6
",https://github.com/spring-projects/spring-framework/commit/e51c71bcd6
24,Remove class annotation,Springframework,e564a0de46,https://github.com/spring-projects/spring-framework/commit/e564a0de46
25,Remove class annotation,Springframework,f7e07322ab,https://github.com/spring-projects/spring-framework/commit/f7e07322ab
26,Remove class modifier,Springframework,438c3818cc,https://github.com/spring-projects/spring-framework/commit/438c3818cc
27,Remove class modifier,Springframework,"489c89b912
",https://github.com/spring-projects/spring-framework/commit/489c89b912
28,Remove class modifier,Springframework,"b782747472
",https://github.com/spring-projects/spring-framework/commit/b782747472
29,Remove class modifier,Springframework,c3d123fef7,https://github.com/spring-projects/spring-framework/commit/c3d123fef7
30,Remove deprecated method,Springframework,"35103b0cd1
",https://github.com/spring-projects/spring-framework/commit/35103b0cd1
31,Remove deprecated method,Springframework,"d05ac097dd
",https://github.com/spring-projects/spring-framework/commit/d05ac097dd
